Timestamp,Relative Time (ms),Inlet Pressure (Bar),Outlet Pressure (Bar)
11:00:00.000,0,62.186,56.699
11:00:00.100,100,62.092,56.34
11:00:00.200,200,62.348,56.321
11:00:00.300,300,62.248,56.332
11:00:00.400,400,61.612,55.929
11:00:00.500,500,61.839,56.446
11:00:00.600,600,61.711,56.193
11:00:00.700,700,61.84,56.303
11:00:00.800,800,61.88,55.914
11:00:00.900,900,62.809,56.435
11:00:01.000,1000,62.058,55.683
11:00:01.100,1100,62.024,56.239
11:00:01.200,1200,62.364,56.659
11:00:01.300,1300,61.903,56.226
11:00:01.400,1400,62.177,56.015
11:00:01.500,1500,61.648,56.066
11:00:01.600,1600,61.914,56.387
11:00:01.700,1700,61.936,56.5
11:00:01.800,1800,61.899,56.213
11:00:01.900,1900,62.581,55.959
11:00:02.000,2000,62.271,56.132
11:00:02.100,2100,62.073,56.636
11:00:02.200,2200,61.799,55.738
11:00:02.300,2300,62.762,55.936
11:00:02.400,2400,61.594,56.232
11:00:02.500,2500,62.502,56.008
11:00:02.600,2600,62.01,56.058
11:00:02.700,2700,62.354,56.44
11:00:02.800,2800,62.222,56.228
11:00:02.900,2900,61.986,55.69
11:00:03.000,3000,62.142,56.753
11:00:03.100,3100,61.753,56.226
11:00:03.200,3200,61.827,56.054
11:00:03.300,3300,61.703,56.273
11:00:03.400,3400,62.476,56.222
11:00:03.500,3500,61.56,55.98
11:00:03.600,3600,61.957,55.531
11:00:03.700,3700,61.82,56.16
11:00:03.800,3800,62.027,55.906
11:00:03.900,3900,62.085,49.665
11:00:04.000,4000,62.027,45.288
11:00:04.100,4100,61.855,41.101
11:00:04.200,4200,62.516,37.021
11:00:04.300,4300,61.524,35.058
11:00:04.400,4400,62.146,31.152
11:00:04.500,4500,61.999,29.457
11:00:04.600,4600,62.014,27.618
11:00:04.700,4700,62.011,25.794
11:00:04.800,4800,62.324,23.753
11:00:04.900,4900,62.073,22.979
11:00:05.000,5000,61.831,21.726
11:00:05.100,5100,61.914,21.003
11:00:05.200,5200,61.635,20.266
11:00:05.300,5300,62.096,19.849
11:00:05.400,5400,61.98,19.885
11:00:05.500,5500,61.902,19.042
11:00:05.600,5600,61.852,18.966
11:00:05.700,5700,62.15,18.719
11:00:05.800,5800,61.905,18.886
11:00:05.900,5900,62.345,17.909
11:00:06.000,6000,61.905,18.409
11:00:06.100,6100,62.039,17.898
11:00:06.200,6200,62.052,17.986
11:00:06.300,6300,61.859,17.747
11:00:06.400,6400,61.969,16.903
11:00:06.500,6500,62.256,17.966
11:00:06.600,6600,61.824,17.091
11:00:06.700,6700,61.432,17.164
11:00:06.800,6800,61.849,16.871
11:00:06.900,6900,61.73,16.857
11:00:07.000,7000,61.873,17.384
11:00:07.100,7100,61.932,17.416
11:00:07.200,7200,62.655,15.999
11:00:07.300,7300,61.838,16.693
11:00:07.400,7400,62.096,16.978
11:00:07.500,7500,55.474,16.868
11:00:07.600,7600,49.658,17.352
11:00:07.700,7700,45.216,16.838
11:00:07.800,7800,40.54,16.558
11:00:07.900,7900,38.119,16.471
11:00:08.000,8000,34.51,16.672
11:00:08.100,8100,31.693,16.445
11:00:08.200,8200,30.132,17.127
11:00:08.300,8300,27.957,17.219
11:00:08.400,8400,26.247,16.533
11:00:08.500,8500,25.436,17.555
11:00:08.600,8600,24.353,16.347
11:00:08.700,8700,23.637,16.938
11:00:08.800,8800,22.699,16.853
11:00:08.900,8900,22.23,16.238
11:00:09.000,9000,21.59,16.584
11:00:09.100,9100,21.569,17.09
11:00:09.200,9200,20.592,17.109
11:00:09.300,9300,20.606,16.906
11:00:09.400,9400,20.328,16.904
11:00:09.500,9500,19.681,16.736
11:00:09.600,9600,19.671,16.792
11:00:09.700,9700,19.38,16.433
11:00:09.800,9800,19.307,17.052
11:00:09.900,9900,19.313,17.47
11:00:10.000,10000,18.994,16.363
11:00:10.100,10100,19.009,17.029
11:00:10.200,10200,19.296,16.146
11:00:10.300,10300,18.574,16.803
11:00:10.400,10400,19.554,16.915
11:00:10.500,10500,18.693,17.334
11:00:10.600,10600,18.481,17.439
11:00:10.700,10700,19.139,17.988
11:00:10.800,10800,19.074,16.763
11:00:10.900,10900,18.662,16.177
11:00:11.000,11000,18.523,16.867
11:00:11.100,11100,18.727,17.529
11:00:11.200,11200,18.941,16.906
11:00:11.300,11300,18.825,17.426
11:00:11.400,11400,18.251,16.187
11:00:11.500,11500,18.632,16.918
11:00:11.600,11600,18.426,16.558
11:00:11.700,11700,18.88,16.817
11:00:11.800,11800,19.1,17.399
11:00:11.900,11900,18.873,16.724
11:00:12.000,12000,18.455,16.874
