relative_time_ms,inlet_pressure_bar,outlet_pressure_bar
0,60.01,55.08
100,59.99,55.10
200,60.03,55.09
300,60.00,55.11
400,60.02,55.07
500,60.01,55.10
600,59.98,55.12
700,60.04,55.06
800,60.01,55.09
900,60.00,55.08
1000,60.02,55.11
1100,59.99,55.10
1200,60.03,55.07
1300,60.01,55.12
1400,60.00,55.09
1500,60.02,55.08
1600,60.01,55.11
1700,59.98,55.10
1800,60.04,55.07
1900,60.01,55.12
2000,60.00,55.09
2100,60.02,55.08
2200,60.01,55.11
2300,59.99,55.10
2400,54.20,55.09
2500,48.50,55.11
2600,47.80,55.12
2700,47.10,55.09
2800,46.50,55.10
2900,46.20,55.11
3000,46.00,55.08
3100,45.90,55.12
3200,45.80,55.09
3300,45.70,55.07
3400,45.60,55.10
3500,45.50,55.08
4000,45.40,55.11
4500,45.30,55.09
5000,45.20,55.07
5500,45.10,55.12
6000,45.05,55.08
6500,45.03,55.09
7000,45.02,55.06
7300,45.01,55.05
7400,45.00,55.00
7500,44.99,54.50
7600,44.97,49.30
7700,45.02,43.15
7800,45.01,40.20
7900,45.03,38.50
8000,45.00,35.80
8200,44.98,33.10
8400,44.95,31.50
8600,44.90,30.20
8800,44.85,29.10
9000,44.80,28.30
9200,44.75,27.60
9400,44.70,27.00
9600,44.65,26.50
9800,44.60,26.10
10000,44.55,25.80
